序号,单词,释义
2838,lever,n.杆杠杆控制杆似杠杆之工具vt.撬开使用杠杆
2839,liability,n.责任；倾向；债务
2840,liable,adj.易于...的可能的有义务的应负责的有...倾向
2841,liar,n.说谎的人
2842,liberal,adj.心胸宽大的慷慨的无偏见的不拘泥的宽大的开明的n.自由主义者宽容大度的人(Liberal)自由党人
2843,liberate,vt.解放释放使获自由v.解放使获得自由释出放出
2844,liberation,n.解放解放运动(为获得平等权利和地位的行为)
2845,liberty,n.自由释放许可
2846,librarian,n.图书馆馆长
2847,library,n.图书馆藏书
2848,license,n.许可批准批准执照许可证vt.准许特许
2849,lick,vt.舔舔吃连续击打击败vi.用舌头舔拍打n.舔少许打
2850,lid,n.盖子盖囊盖
2851,lie,vi.躺平放位于说谎欺骗n.谎言
2852,lieutenant,n.陆军中尉副职官员助理人员
2853,life,n.生命一生寿命生活人生生物灵魂无期(徒刑)adj.活的终身的生动的
2854,lifetime,n.一生终身寿命使用期限 
2855,lift,vt.提起提高升高举起还清取消偷窃运送vi.提升n.电梯举起帮助提升电梯载货量扒窃搭便车
2856,light,n. 光光线灯光源启发众所周知的通光口眼光adj. 轻的不重要的容易的明亮的淡色的少量的vi.  点燃着火变亮下马落下碰巧发生vt. 点燃照亮adv. 轻地轻便的
2857,lighten,vt.照亮使明亮点亮变亮减轻
2858,lightly,adv.轻轻地轻松地轻快地轻蔑地轻率地轻微地
2859,lightning,n.闪电闪电放电adj.闪电般的快速的vi.打闪
2860,like,vt. 喜欢喜爱希望愿意想adj. 相似的同样的prep. 像如同像要n. 爱好类似的人(或物)  adv. 大概和...一样conj. 如同
2861,likelihood,n.可能(性)
2862,likely,adj.可能的合适的可信的有前途的有吸引力的adv.很可能
2863,likewise,ad.同样地也又此外(表示感觉相同)我也是
2864,limb,n.肢臂翼树枝四肢枝干边缘vt.切断手足切断树干
2865,lime,n.石灰酸橙酸橙树粘鸟胶钙vt.施石灰涂上粘性物质沾上粘鸟胶adj.与石灰或石灰石相关的
2866,limit,n.限度限制范围vt.限制限定
2867,limitation,n.限制限度局限
2868,limited,adj.有限的被限制住的缺乏创新性的
2869,limp,vi.蹒跚，跛行 n.跛行
2870,line,n.线排路线线条行航线场界皱纹家族v.用做衬里排成一行顺...排列vi.排成一行顺...排列划线于
2871,linear,a.线的；长度的
2872,linen,n.亚麻布亚麻线亚麻织物亚麻制品adj.亚麻布制的亚麻的
2873,liner,n.班船，班机
2874,linger,vi.逗留，徘徊；拖延
2875,link,vt.有环连接连接联系n.环环节联系(链的)环圈
2876,lion,n.狮子勇猛的人
2877,lip,n.嘴唇
2878,liquid,n.液体a.液体的液态的
2879,liquor,n.酒溶液液剂
2880,list,n.表明细表目录名单条纹倾斜列举<古>意向vt.列出列表(使)倾斜<古>使高兴愿意<古>听
2881,listen,vi.听留神听听从倾听n.听倾听
2882,listener,n.听者听众之一
2883,liter,n.升公升(容量单位)=litre(英)
2884,literacy,"n. 读写能力,识字"
2885,literal,a.文字(上)的；字面的
2886,literary,a.dj文学(上)的
2887,literature,n.文学文献
2888,litter,n.废物，杂乱 vi.乱扔
2889,little,adj.小的少幼小的adv.毫不少量地n.几乎没有(指数量或程度等)
2890,live,vi.居住活过着adj.活的生动的精力充沛的直播的
2891,lively,adj.活泼的活跃的栩栩如生的真实的逼真的
2892,liver,n.肝肝脏
2893,living,adj.活的生动的n.生活生计动词live的现在分词
2894,living-room,n.起居室
2895,load,vt.装装满装载装填担负给(枪)装子弹n.负载负荷重担装载量
2896,loaf,n.一条面包一个面包条块面包vi.游手好闲虚掷光阴
2897,loan,n.贷款暂借借出债权人vt.借出借给供应货款
2898,lobby,n.前厅，(剧院的)门廊
2899,local,adj.地方的局部的地方性的当地的n.当地人
2900,locality,n.位置，地点，发生地
2901,locate,vt.探明找出查出设于位于建立vi.建立住下来
2902,location,n.位置场所地点定位外景拍摄地
2903,lock,n.锁刹车水闸牢牢紧握一束一缕vt.锁上锁住抓牢使固定vi.锁(住)纠结过闸
2904,locomotive,n.火车头机车adj.运转的火车头的移动的
2905,lodge,vi.暂住借宿投宿临时住宿安顿n.小屋门房支部
2906,loft,n.阁楼顶楼
2907,lofty,a.高耸的；高尚的
2908,log,n.原木木料记录日志计程仪vt.伐木切记录航行度过(时间)vi.采伐
2909,logic,n.逻辑(学)(合理的)推理逻辑性
2910,logical,adj.逻辑的符合逻辑的有推理能力的
2911,lonely,adj.孤独的荒凉的寂寞的
2912,long,adj.长的远的很久的冗长的adv.长久长期地远地vi.渴望热望极想念n.长时间长音节
2913,longitude,n.经线，经度
2914,look,vi.看显得注意朝着好象vt.打量注视用眼神或脸色表示期待n.看神色样子脸色
2915,loop,n.圈环环孔弯曲部份回路vt.使...成环以圈结以环连结vi.形成环环形地行动
2916,loose,adj.松的宽松的不牢固的不精确的n.解放放任放纵v.释放放枪开船
2917,loosen,vt.解开使松驰放松松开解除(便秘等)放宽vi.变松松弛
2918,lord,n.贵族上帝基督主
2919,lorry,n.运货汽车卡车
2920,lose,vt.失去遗失迷失输掉失败损失摆脱vi.丢失失败
2921,loss,n.遗失损失失败丧失损耗亏损
2922,lot,n.许多大量签抽签阄小组场地命运adv.很非常pron.大量vt.分配划分
2923,loud,adj.响亮的吵闹的大声的难闻的adv.响亮地大声地
2924,loudly,adv.大声地高声地花俏地
2925,loudspeaker,n.扬声器喇叭
2926,lounge,n.(旅馆等的)休息室
2927,love,vt.爱爱慕热爱喜欢vi.爱n.爱恋爱爱情情人
2928,lovely,adj.可爱的令人愉快的n.漂亮的女人美好的东西
2929,lover,n.爱好者情人情侣
2930,low,adj.低的矮的低下的低点(价)深度牛叫声adj.低的消沉的低等的粗俗的衰弱的vi.牛叫
2931,lower,adj. 较低的低的下级的下层的vt. 放下降低跌落减弱贬低vi. 皱眉降低阴沉变少n.  皱眉下级阴沉的样子前兆
2932,loyal,adj.忠诚的忠心的
2933,loyalty,n.忠诚忠心
2934,lubricate,vt.使润滑vi.加润滑油
2935,luck,n.运气好运幸运吉祥之物v.侥幸成功
2936,lucky,adj.幸运的带来好运的吉祥的
2937,luggage,n.行李皮箱皮包
2938,lumber,n.木材木料制材v.伐木vi.缓慢地移动vt.拖累
2939,luminous,a.发光的；光明的
2940,lump,n.团块块状肿块瘤很多愚笨的人惩罚vt.聚成团合并考虑同等对待或分类笨拙地移动结块忍受vi.使成块状沉重地移动adj.整体的全部的块状的
2941,lunar,a.月亮的
2942,lunch,n.午餐(美)便餐vi.吃午餐vt.请客吃午餐
2943,lung,n.肺脏肺呼吸器官
2944,luxury,n.奢侈奢华奢侈品
2945,machine,n.机器机械机械装置机械般工作的人核心vt.以机器制造
2946,mad,adj.发疯的恼火的狂热的着迷的生气的v.发怒n.发怒
2947,madam,n.夫人女士太太老鸨
2948,magazine,n.杂志期刊
2949,magic,n.魔法巫术戏法adj.有魔力的神奇的vt.使用魔(变出等)
2950,magnet,n.磁铁磁石磁体有强大吸引力的人或物
2951,magnetic,adj.磁的有吸引力的催眠术的
2952,magnificent,adj.壮丽的华丽的宏伟的极好的
2953,magnify,vt.放大，扩大
2954,magnitude,n.大小；重大；星等
2955,maid,n.女佣女仆侍女少女
2956,mail,n.邮件邮政vt.邮寄
2957,main,adj.主要的最重要的n.主要部分干线(水、煤气、电等)供应系统体力
2958,mainland,n.大陆本土
2959,mainly,adv.主要地大体上
2960,maintain,vt.维持赡养维修保养坚持断言
2961,maintenance,n.维持保持维修生活费用供给抚养主张
2962,majesty,n.威严，尊严；陛下
2963,major,adj.较大的主要的较多的大部份的n.专业主修成年人陆军少校巨头vi.主修
2964,majority,n.多数大多数
2965,make,vt.使做制造vi.表现前往生产n.牌子型号性格生产
2966,male,a.男的雄的n.男子雄性动物
2967,mall,n.大型购物中心
2968,man,n.男人人人类vt.为...配备人手使...振奋
2969,manage,vt.管理设法对付处理维持达成经营vi.管理达成
2970,management,n.管理(层)经营处理
2971,manager,n.经理管理人
2972,manifest,vt.表明 a.明白的
2973,manipulate,vt.操作；控制，手持
2974,mankind,n.人类男人
2975,manly,adj.男子气概的果断的强壮的适于男人的adv.男子般地
2976,manner,n.方式态度礼貌举止习俗
2977,manoeuvre,"n.vi. 调遣,演习vt. 调动,操纵"
2978,manual,adj.体力的手工的n.手册指南键盘
2979,manufacture,vt.制造加工vi.参与制造n.制造产品制造业
2980,manufacturer,n.制造商制造厂
2981,manuscript,n.手稿，底稿，原稿
2982,many,adj.许多的pron.许多人或物n.许多人许多
2983,map,n.地图图天体图基因图谱vt.绘制地图计划
2984,marble,n.大理石vt.使有大理石的花纹
2985,march,n.(March)三月示威游行vt.使前进使行军vi.行军进军游行示威
2986,margin,n.页边的空白边缘差额利润vt.使围绕于加边缘
2987,marginal,a.记在页边的；边缘的
2988,marine,adj.海的海上的海事的船舶的航海的n.(海军)士兵或军官海景画
2989,mark,n.斑点污迹记号标记分数烙印纪录vt.标明做标记于留意打分数留下污痕使...明显vi.做标志记分留下印记
2990,market,n.市场集市销路交易推销地区vt.在市场上交易使...上市vi.在市场上买卖
2991,marriage,n.结婚婚姻婚礼
2992,married,adj.已婚的婚姻的
2993,marry,vt.娶嫁vi.结婚结合 
2994,marsh,n.沼泽地，湿地
2995,marshal,n.元帅；陆军元帅
2996,marvelous,adj.奇迹般的了不起的令人惊异的不平常的
2997,Marxism,n.马克思主义
2998,Marxist,adj.马克思主义的
2999,masculine,a.男性的；强壮的
3000,mask,n.面具伪装口罩掩饰面膜vt.掩饰戴面具化装[计]掩码
3001,mass,n.众多团群众块大量adj.群众的大规模的v.集中(Mass)n.弥撒弥撒曲pl.群
3002,massive,a.粗大的；大而重的
3003,master,n.主人能手硕士专家adj.主人的主要的精通的vt.征服控制精通
3004,masterpiece,n.杰作，名著
3005,mat,n. 席子草席垫子垫丛衬边消光面vt. 遮盖保护用垫子装饰使纠缠铺席于...上使...无光泽给(照片)镶框vi. 缠结
3006,match,n.比赛竞赛对手火柴般配的人配偶v.使...相配与...竞争相配
3007,mate,n.伙伴同事配偶助手v.使...配对交配使...一致结伴
3008,material,n.材料原料物质素材题材资料a.物质的实体的身体上的肉体的重要的关键的
3009,materialism,n.唯物主义唯物论实利主义
3010,mathematical,adj.数学的数学上的精确的可能性极小的
3011,mathematics,n.数学
3012,maths,n.(英)数学=mathematics(英)
3013,matter,n.事情物质原因vi.要紧有关系
3014,mature,adj.成熟的到期的充分发育的考虑周到的vt.使…成熟长成vi.长成成熟到期
3015,maximum,n.最大量极点极大adj.最大的最高的最大极限的
3016,may,v.aux.可能可以祝愿n.(May)五月青春
3017,maybe,adv.大概或许也许n.不确定性
3018,mayor,n.市长
3019,me,pron.(宾格)我
3020,meadow,n.草地，牧草地
3021,meal,n.膳食一餐谷物粗粉vi.进餐
3022,mean,vt. 作...解释意指意谓想要意欲n. 平均值平均数中部adj. 低劣的卑贱的卑鄙的自私的吝啬的平均的中等的
3023,meaning,n.意义意思含义意图adj.意味深长的
3024,means,n.方法手段工具折中点物质财富
3025,meantime,n.其时其间adv.当时与此同时
3026,meanwhile,adv.同时当时n.其时其间
3027,measurable,adj.可测量的
3028,measure,vt.量测量n.分量措施办法量度尺寸
3029,measurement,n.衡量测量尺寸大小
3030,meat,n.肉主要或重要部分
3031,mechanic,n.技工机械机修工adj.手工的
3032,mechanical,a.机械的力学的呆板的n.(供制版用的)样书版面设计
3033,mechanically,adv.机械地
3034,mechanics,n.力学机械学(技术的操作的)过程手法技术性细节
3035,mechanism,n.机械装置；机制
3036,medal,n.奖章勋章纪念章vi.获得奖章
3037,media,n. 媒体
3038,mediate,"a. 居间的,间接的vt. 斡旋,调停"
3039,medical,adj.医学的内科的医疗的药物的需治疗的
3040,medicine,n.内服药医学
3041,medieval,"a. 中古的,中世纪的"
3042,Mediterranean,n.地中海adj.地中海(的)
3043,mediterranean,n.地中海 a.地中海的
3044,medium,n.媒质方法媒介中间adj.中等的适中的
3045,meet,vt.遇见引见经历结识对付满足支付vi.相遇集合交锋相交n.集会比赛运动会adj.适宜的合适的
3046,meeting,n.聚集会合会见会议
3047,melody,n.旋律，曲调；歌曲
3048,melon,n.瓜甜瓜
3049,melt,vi.融化熔化溶解软化渐渐混合vt.使融化n.熔化熔化物
3050,member,n.成员会员部位
3051,membership,n.成员资格；会员人数
3052,memorial,adj.纪念的追悼的记忆的n.纪念碑(堂)纪念仪式
3053,memory,n.记忆回忆存储内存
3054,menace,vt.&vi.&n.(进行)威胁
3055,mend,vt.修理修补缝补修改改进vi.改过自新改进痊愈n.修补改进修补处
3056,mental,adj.智力的精神的脑力的精神错乱的传心术的
3057,mention,vt. &n.提及说起
3058,menu,n.菜单饭菜菜肴
3059,merchant,n.商人零售商店主专家adj.商业的vt.做买卖
3060,mercury,n.水银汞(Mercury)水星
3061,mercy,n.仁慈慈悲恩惠怜悯宽恕幸运adj.仁慈的宽恕的
3062,mere,adj.仅仅的纯粹的微小的n.小湖边界地标
3063,merely,adv.仅仅只不过
3064,merge,"vt. 使合并,使并为一体"
3065,m?'ridi:?m,
3066,merit,n.长处优点功过功绩价值v.博得值得或应得
3067,merry,adj.欢乐的愉快的敏捷的
3068,mess,vt.弄脏，弄乱，搞糟
3069,message,n.信息消息启示要点v.传递信息通讯
3070,messenger,n.送信者，信使
3071,metal,n.金属质料金属制品vt.以金属覆盖
3072,metallic,a.金属的 n.金属粒子
3073,meter,n.计量器计表公尺韵律vt.用表测量
3074,method,n.方法办法教学法条理类函数类成员函数(计算机)
3075,metre,n.米公尺计量器(诗的)韵律格律=meter(美)
3076,metric,adj.公制的米制的十进制的n.度量标准公制米制十进制
3077,metropolitan,a.主要都市的n.大主教
3078,microcomputer,n.微型计算机微机
3079,microphone,n.话筒麦克风扩音器
3080,microscope,n.显微镜
3081,midday,n.正午中午
3082,middle,n.中部中间腰中项adj.中部的中等的中间的中期的
3083,midnight,n.午夜子夜夜半漆黑
3084,midst,n.中部中间当中prep.(=amidst)在...当中
3085,might,v.aux.可能会也许n.力量威力能力v.或许可以
3086,migrate,vi.迁移，移居
3087,mild,adj.和缓的温柔的味淡的轻微的温和的适度的
3088,mile,n.英里大量海里一英里赛跑
3089,militant,a. 好战的
3090,military,adj.军事的军人的n.军队
3091,milk,n.乳乳状物牛奶vt.挤(奶)产乳
3092,mill,n.磨坊制造厂磨粉机密尔：一种货币单位使陷于困境vt.磨细vi.乱转磨细
3093,millimetre,n.毫米=millimeter(美)
3094,million,num.百万n.许多百万(the millions)群众adj.百万的无数的
3095,mind,n.头脑理智记忆思想主意心意vt.留心注意介意照顾vi.留心关心
3096,mine,pron.我的n.地雷矿山宝库vt.采矿开凿暗中破坏埋地雷vi.挖掘
3097,miner,n.矿工
3098,mineral,n.矿物矿石adj.矿物的
3099,mingle,vt.使混合vi.混合起来
3100,miniature,n.缩影 a.缩小的
3101,minimal,"a. 最小的,极微的,最小限度的"
3102,minimize,vt.使减到最小
3103,minimum,n.最小量最低限度adj.最低的最小的
3104,minister,n.部长大臣公使vi.照顾给予帮助
3105,ministry,n.(政府的)部(全体)牧师牧师工作
3106,minor,adj.较小的较次要的二流的未成年的n.未成年人辅修科目[音乐]小调vi.辅修
3107,minority,n.少数少数民族未成年
3108,minus,adj.负的减的prep.减(去)n.减号负数缺点
3109,minute,n.分分钟一会儿会议记录adj.微小的不重要的详细的vt.记录
3110,miracle,n.奇迹令人惊奇的人
3111,mirror,n.镜子vt.反映反射
3112,miserable,adj.痛苦的悲惨的贫乏的
3113,misery,n.痛苦，悲惨，不幸
3114,misfortune,n.不幸，灾祸，灾难
3115,mislead,vt.使误入岐途误导使产生错误印象欺骗
3116,miss,n.小姐vt.想念惦念漏掉错过未看到
3117,missile,n.发射物导弹
3118,missing,a.缺掉的失去的失踪的
3119,mission,n.使命任务使团代表团传教vt.传教
3120,missionary,n.传教士
3121,mist,n.薄雾迷蒙朦胧不清vt.使...模糊蒙上雾vi.使...模糊下雾
3122,mistake,n.错误误会vi.误解弄错犯错vt.弄错误认
3123,Mister,n.先生
3124,mistress,n.女主人夫人主妇情妇
3125,misunderstand,vt.误解误会曲解
3126,mix,vt.使混合混淆掺入合成交往联系n.混合(物)融合
3127,mixture,n.混合混合物
3128,moan,n.呻吟声悲叹声抱怨声vi.呻吟v.抱怨呻吟
3129,mobile,adj.运动的流动的可移动的易变的迁徙的n.(可随风飘动的)悬挂装置可动雕塑
3130,mobilize,vt.动员 vi.动员起来
3131,mock,n.嘲弄 vt.嘲弄，挖苦
3132,mode,n.方式样式模式风格时兴
3133,model,n.模型模式模特儿模范
3134,moderate,a.温和的有节制的适度的稳健的中等的v.节制使...稳定使...缓和n.稳健的人
3135,modern,a.现代的近代的时髦的n.现代人时尚人士
3136,modest,adj.有节制的谦虚的适度的端庄的
3137,modify,vt.更改修改修饰调正缓和vi.修改
3138,moist,"adj.湿润的潮湿的多雨的(果物)多汁的,有分泌物的湿性的n.潮湿"
3139,moisture,n.潮湿湿气温度
3140,molecule,n.分子克分子
3141,momen,t n.片刻瞬间时刻准确时刻非常重要的时机力矩
3142,momentum,"n. 动力,要素"
3143,Monday,n.星期一
3144,money,n.货币金钱财富
3145,monitor,"n.班长监视器监听员,显示器v.监视监听监督"
3146,monkey,n.猴子猿v.胡闹乱弄
3147,monopoly,n.垄断，独占，专利
3148,monster,n.怪物；畸形的动植物
3149,month,n.月月份 
3150,monthly,adj.每月的持续一个月的每月发生的adv.每月按月n.月刊(复数monthlies)月经
3151,monument,n.纪念碑纪念馆历史遗迹
3152,mood,n.心情情绪语气
3153,moon,n.月球月亮卫星
3154,moral,adj.道德(上)的合乎道德的n.品行寓意道德
3155,morality,n.道德，美德，品行
3156,more,a.更多的程度较大的更大的adv.更多更多进一步n.更多
3157,moreover,adv.再者加之此外而且
3158,morning,n.早晨上午开端
3159,mortal,a.终有一死的；致死的
3160,mortgage,n.抵押 vt.抵押
3161,mosquito,n.蚊子
3162,most,adj.最多的大多数的几乎全部的adv.最很最多极其n.最多最大pron.大多数
3163,mostly,adv.主要的大部分大概
3164,motel,n.汽车游客旅馆
3165,mother,n.母亲妈妈adj.母亲的母体的vt.生育像母亲一样关爱
3166,motion,n.运动打手势提议示意移动动作大便v.运动向...打手势示意
3167,motivate,vt.促动激励激发(兴趣或欲望)给与动机
3168,motive,n.动机目的主题adj.发动的运动的积极的动机的vt.促使使有动机
3169,motor,n.发动机机动车马达汽车adj.机动的有引擎的汽车的v.(用引擎)驱动
3170,mould,n.模子(样板形状霉菌土类型)模型vt.浇铸模压(铸造发霉形成轮廓相符合)vi.发霉
3171,mount,vt.登上爬上提升装备vi.增长骑上(马)n.山峰乘用马框衬纸
3172,mountain,n.山山岳山脉大量
3173,mourn,vi.哀痛，哀悼
3174,mouse,n.老鼠耗子鼠标胆小如鼠的人乌青色的肿块vi.捕鼠蹑手蹑脚行动vt.仔细寻找
3175,mouth,n. 嘴口口腔开口需要供养的人夸张说话的趋势(河流等)入口容器的开口vt. 装腔作势说话送进嘴里喃喃自语用唇语说vi.  傲慢地说嘟嘴扮鬼脸
3176,mouthful,n.满口一口少量
3177,move,"vt.使移动使...感动推动(有时也意译为""跳槽"")n.移动迁居步骤动作vi.移动搬家采取行动"
3178,movement,n.动作活动移动运动变动趋势通便运转装置[音]乐章
3179,movie,n.电影电影院
3180,much,adv.非常很adj.许多的pron. &n.许多
3181,mud,n.软泥泥浆恶意诽谤和攻击vt.弄脏污蔑
3182,muddy,adj.多泥的泥泞的肮脏的混浊的v.弄脏使...混浊使迷惑
3183,mug,n.大杯脸一杯的量恶棍vi.扮鬼脸vt.攻击打劫
3184,multiple,adj.复合的并联的许多多种多样的
3185,multiply,vt.使增加乘vi.扩大繁衍做乘法adv.多样地多重地
3186,multitude,n.大批，大群；大量
3187,municipal,a.市的，市立的
3188,murder,n.谋杀凶杀危险物vt.谋杀凶杀折磨损坏vi.谋杀凶杀
3189,murderer,n.杀人犯凶手
3190,murmur,"vi. 低语,低声而言 n.低语"
3191,muscle,n.肌肉肌体力vt.用力挤vi.用力进行
3192,muscular,a.肌肉发达的，强健的
3193,museum,n.博物馆展览馆
3194,mushroom,n.蘑菇菌类植物暴发户vi.扩张迅速增加采蘑菇
3195,music,n.音乐乐曲乐谱伴奏美妙的声音
3196,musical,adj.音乐的和谐的n.音乐片
3197,musician,n.音乐家作曲家
3198,must,v.aux.必须必然要n.必须一定绝对发霉果汁麝香
3199,mute,adj.缄默的哑的无声的n.哑巴默音字母弱音器vt.减音减弱vi.(鸟)排泄
3200,mutter,vi.轻声低语喃喃自语作低沉声抱怨出怨言n.喃喃低语
3201,mutton,n.羊肉
3202,mutual,adj.相互的共同的
3203,my,pron.我的adj.我的(I的所有格形式)int.哎呦(用于表示惊讶的感叹词)
3204,myself,pron.我自己我亲自
3205,mysterious,adj.神秘的难以理解的不可思议的
3206,mystery,n.神秘秘密神秘的人或事物
3207,myth,"n. 神话,虚构的事,虚构的人"
3208,nail,n.钉子指甲vt.钉使牢固抓捕敲定
3209,naive,"a. 天真的,纯真的,朴素的"
3210,naked,adj.裸体的无遮敝的明白的手无寸铁的
3211,name,n.名字名称姓名名誉vt.说出命名称呼任命adj.有名的著名的
3212,namely,adv.即也就是
3213,nap,n.小睡打盹瞌睡绒毛表面vi.小睡疏忽vt.使…起毛
3214,narrative,"n. 叙述,故事 a. 叙述的,叙事的"
3215,narrow,adj.狭的狭窄的精密的有限的n.狭窄部份海峡隘路vt.变窄使...狭窄vi.变窄
3216,nasty,a.龌龊的；淫猥的
3217,nation,n.民族国家
3218,national,adj.民族的国家的n.国民
3219,nationality,n.国籍民族族
3220,native,adj.本土的本国的出生地的天生的n.本地人土著人
3221,natural,adj.自然界的天然的正常的天生的n.有天赋的人
3222,naturally,adv.自然地天然地
3223,nature,n.大自然自然界自然状态本性性质类型
3224,naughty,adj.顽皮的淘气的粗俗的
3225,naval,adj.海军的军舰的<古>船舶的
3226,navigation,n.航行航海术导航
3227,navy,n.海军船队深蓝色
3228,near,adv.近接近几乎亲近adj.近的接近的亲近的勉强的直接的小气的近似的prep.靠近vt.靠拢接近vi.接近
3229,nearby,adj.附近的adv.在附近prep.在...附近
3230,nearly,adv.差不多几乎密切地
3231,neat,adj.整洁的熟练的巧妙的端正的极好的纯的adv.整齐地
3232,necessarily,adv.必然必定必需地
3233,necessary,adj.必要的必需的必然的n.
3234,Necessitate,"vt. 迫使,使成为必需,需要"
3235,necessity,n.必要性必然性需要必需品
3236,neck,n.颈脖子
3237,necklace,n.项链项圈
3238,need,vt.需要必需v.aux.需要n.需要必须缺乏
3239,needle,n.针缝补编织针vt.用针缝激怒嘲弄vi.缝纫
3240,needless,adj.不需要的无用的
3241,negative,adj.否定的消极的负的n.底片负数否定vt.否定
3242,neglect,vt.忽视忽略疏忽不顾n.疏忽忽略怠慢
3243,negligible,a.微不足道的
3244,negotiate,vi.谈判，交涉，议定
3245,Negro,n.(含歧视意味)黑人adj.黑人的
3246,neighbour,n.邻居(邻近的东西邻近值)邻国邻人vt.邻接(相邻接近)
3247,neighbourhood,n.邻居关系邻近
3248,neither,adj.(两者)都不的皆不int.两者都不conj.既非既不
3249,nephew,n.侄子外甥
3250,nerve,n.神经(生物)勇敢胆量精神勇气叶脉vt.鼓起勇气
3251,nervous,adj.神经(质)的易激动的紧张的焦虑的
3252,nest,n.巢窝穴vt.嵌入vi.筑巢
3253,net,n.网网状物通信网净利实价adj.净余的纯粹的vt.用网捕撒网净赚
3254,network,n.网状物网络系统广播网vt.用网覆盖联网vi.加入网络
3255,neutral,adj.中立的中性的n.中立者空挡的素净色
3256,never,adv.永不决不不
3257,nevertheless,conj.然而不过adv.仍然不过
3258,new,adj.新的新近出现的附加的adv.新的
3259,newly,adv.新近重新地最近
3260,news,n.新闻消息
3261,newspaper,n.报纸报报社新闻纸v.从事新闻工作
3262,next,adj.紧接的贴近的下一个的adv.其次n.下一个prep.靠近
3263,nice,adj.美好的令人愉快的漂亮的善意的
3264,nickel,n.镍；镍币
3265,niece,n.侄女外甥女教士的私生女
3266,night,n.夜夜间
3267,nightmare,n.恶梦；经常的恐惧
3268,nine,num.九九个
3269,nineteen,num.十九十九个
3270,ninety,num.九十九十个
3271,ninth,num.第九九分之一adj.第九的九分之一的
3272,nitrogen,n.氮
3273,no,adv.不并不adj.没有不是绝非n.不拒绝否决票
3274,noble,adj.贵族的高尚的宏伟的贵族的高贵的n.贵族
3275,nobody,pron.谁也不无人没有人n.无足轻重的人小人物
3276,nod,vt.点(头)点头表示打盹摆动v.点头打盹使...摆动
3277,noise,n.喧闹声响声噪声vt.谣传vi.大声说话发出噪音
3278,noisy,adj.嘈杂的喧闹的发出噪声的
3279,Nominal,"a. 名义上的,名字的 n. 名词性词"
3280,nominate,vt.提名，推荐；任命
3281,none,pron.没有人没有任何东西adv.毫不一点也不
3282,Nonetheless,"adv. 尽管如此,然而"
3283,nonsense,n.胡说废话荒唐
3284,noon,n.正午中午全盛期顶点
3285,nor,"conj. &adv.也不也没有不""或非""""非或""abbr.诺曼人(=Norman)abbr.北方(=North)abbr.挪威(= Norway)abbr.挪威人(=Norwegian) "
3286,norm,n.标准，规范；平均数
3287,normal,adj.正常的正规的普通的n.常态标准
3288,normally,adv.通常正常地
3289,north,n.北北方adj.北北方的adv.向北方
3290,northeast,n.东北adj.位于东北的东北的向东北的来自东北的adv.向东北来自东北
3291,northern,adj.北方的北部的
3292,northwest,n.西北西北方adj.位于西北的西北的在西北的来自西北的adv.向西北
3293,nose,n.鼻子突出部分嗅觉v.嗅嗅到
3294,not,adv.不没有
3295,notable,n.值得注意的；著名的
3296,Notation,"n. 记号法,表示法,注释"
3297,note,n.笔记便条注释备忘录音符音调票据纸币vt.记录注解注意
3298,notebook,n.笔记本笔记本电脑期票簿
3299,nothing,n.没有东西微不足道的人或事adv.毫不pron.什么也没有
3300,notice,vt.注意通知留心n.通知注意布告
3301,noticeable,adj.显而易见的重要的
3302,notify,vt.通知，告知；报告
3303,notion,n.概念，意念；看法
3304,notorious,a.臭名昭著的
3305,notwithstanding,prep.尽管，虽然
3306,noun,n.名词
3307,nourish,vt.提供养分，养育
3308,novel,n.小说adj.新的新奇的
3309,novelty,n.新颖；新奇的事物
3310,November,n.十一月
3311,now,adv. 现在立刻于是adj. 现存的目前的n. 现在此刻conj. 既然abbr.=National Organization of Women 全国妇女组织
3312,nowadays,adv.现今现在
3313,nowhere,adv.任何地方都不n.不知道的地方无处
3314,nuclear,adj.原子核的原子能的核心的
3315,nucleus,n.核核心(原子)核细胞核
3316,nuisance,n.讨厌的东西讨厌的人伤害
3317,number,n.数数字号码数量vi.总计编号vt.编号把...算作
3318,numerical,a.数字的，数值的
3319,numerous,adj.为数众多的许多
3320,nurse,n.保姆护士奶妈vt.看护哺乳vi.看护照顾栽培当看护
3321,nursery,n.托儿所苗圃
3322,nut,n.坚果干果螺母螺帽难对付的人(事)vi.采坚果
3323,Nutrition,"n. 营养,营养学"
3324,nylon,n.尼龙耐纶(复数nylons)：女长袜
3325,oak,n.栎属植物栎木橡树橡木adj.橡木制的
3326,oar,n.浆橹划手v.划行
3327,oath,n.誓言，誓约，宣誓
3328,obedient,n.服从的，顺从的
3329,obey,vt.顺从vi.服从听从
3330,object,n.物物体目的目标宾语v.反对提出...作为反对的理由抱反感
3331,objection,n.反对异议不喜欢
3332,objective,adj.客观的目标的无偏见的n.目标目的物镜=objective case 宾语
3333,obligation,n.义务，职责，责任
3334,oblige,vt.迫使强制施恩惠于vi.帮忙
3335,obscene,"a. 淫秽的,猥亵的"
3336,obscure,a.阴暗的；蒙昧的
3337,observation,n.注意观察观察力评论adj.被设计用来观察的
3338,observe,vt.遵守看到注意到说观察
3339,observer,n.观察员观测者
3340,obstacle,n.障碍障碍物妨害绊脚石
